row_ref,field_key,issue_type,severity,details,original,suggestion,human_decision,notes
ROW:2|KEY:GENHalfyearStandalone,GENHalfyearStandalone,Too Long,High,72 words,"Within the next 6 months, does the entity (on a standalone basis), as at the latest financial year individual accounts expect to have two or more of the following: (1)  income of more than £5.6m?  (2)  total assets (gross) on balance Sheet of more than £2.8m? (3) more than 50 employees? (Please note, we will require evidence of this by way of financial accounts and/or investor report as part of this application.)","Within the next 6 months, does the entity (on a standalone basis), as at the latest financial year individual accounts expect to have two or more of the following: (1) income of more than £5.6m?",,
ROW:2|KEY:GENStandaloneNetAssetsType,GENStandaloneNetAssetsType,Too Long,High,59 words,"Does the entity (on a standalone basis), a) currently have net assets of > £1.4m, (b) is expected to have net assets of > £1.4m within 6 months or (c) have net assets of ≤ £1.4m? (Please note, we will require evidence of (a) by way of financial accounts or investor report (or for (b) - within 6 months).)","Does the entity (on a standalone basis), a) currently have net assets of > £1.4m, (b) is expected to have net assets of > £1.4m within 6 months or (c) have net assets of ≤ £1.4m?",,
ROW:2|KEY:SPEWholesaleDepositorIn6Months,SPEWholesaleDepositorIn6Months,Too Long,High,52 words,"If the wholesale depositor has not been met at the time of the account being opened, will it meet the requirement in the next 6 months and is the customer aware that if they do not meet this requirement we may have to close the account(s) in question - RD TO COMPLETE","If the wholesale depositor has not been met at the time of the account being opened, will it meet the requirement in the next 6 months and is the customer aware that if they do not meet this requirement we may have to close the account(s) in question - RD TO COMPLETE",,
ROW:2|KEY:SPERationaleOffshoreAccount,SPERationaleOffshoreAccount,Too Long,High,32 words,"If your customer is not a resident of the jurisdiction where you are applying for an account to be opened, please provide rationale justifying why an account is required in this jurisdiction","If your customer is not a resident of the jurisdiction where you are applying for an account to be opened, enter rationale justifying why an account is required in this jurisdiction",,
ROW:2|KEY:As_you_have_stated_that_neither_you_nor_a_Third_party_have_met_the_customer_face_to_face_it_is_unlikely_that_we_will_be_able_to_open_a_bank_account_for_your_customer_We_would_advise_you_not_to_complete_the_rest_of_this_application_without_first_having_discussed_this_with_your_Relationship_Director,As_you_have_stated_that_neither_you_nor_a_Third_party_have_met_the_customer_face_to_face_it_is_unlikely_that_we_will_be_able_to_open_a_bank_account_for_your_customer_We_would_advise_you_not_to_complete_the_rest_of_this_application_without_first_having_discussed_this_with_your_Relationship_Director,Too Long,High,55 words,"As you have stated that neither you nor a Third party have met the customer face to face, it is unlikely that we will be able to open a bank account for your customer. We would advise you not to complete the rest of this application without first having discussed this with your Relationship Director.","As you have stated that neither you nor a Third party have met the customer face to face, it is unlikely that we will be able to open a bank account for your customer. We would advise you not to complete the rest of this application without first having discussed this with your Relationship Director.",,
ROW:2|KEY:GENIntroductionChainLayers,GENIntroductionChainLayers,Too Long,High,34 words,Please specify the number of layers in the chain of introduction between your relationship with this customer and the 3rd party that has met the customer face to face to undertake Due Diligence certification.,Please specify the number of layers in the chain of introduction between your relationship with this customer and the 3rd party that has met the customer face to face to undertake Due Diligence certification.,,
ROW:2|KEY:As_you_have_stated_that_there_are_more_than_3_layers_in_the_chain_of_introduction_between_your_relationship_with_this_customer_and_the_3rd_party_that_has_met_the_customer_face_to_face_it_is_unlikely_that_we_will_be_able_to_open_a_bank_account_for_your_customer_We_would_advise_you_not_to_complete_the_rest_of_this_application_without_first_having_discussed_this_with_your_Relationship_Director,As_you_have_stated_that_there_are_more_than_3_layers_in_the_chain_of_introduction_between_your_relationship_with_this_customer_and_the_3rd_party_that_has_met_the_customer_face_to_face_it_is_unlikely_that_we_will_be_able_to_open_a_bank_account_for_your_customer_We_would_advise_you_not_to_complete_the_rest_of_this_application_without_first_having_discussed_this_with_your_Relationship_Director,Too Long,High,71 words,"As you have stated that there are more than 3 layers in the chain of introduction between your relationship with this customer and the 3rd party that has met the customer face to face, it is unlikely that we will be able to open a bank account for your customer. We would  advise you not to complete the rest of this application without first having discussed this with your Relationship Director.","As you have stated that there are more than 3 layers in the chain of introduction between your relationship with this customer and the 3rd party that has met the customer face to face, it is unlikely that we will be able to open a bank account for your customer. We would advise you not to complete the rest of this application without first having discussed this with your Relationship Director.",,
ROW:2|KEY:Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Too Long,High,39 words,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,,
ROW:2|KEY:GENCountryRegistrationJurisdictionMismatchRationale,GENCountryRegistrationJurisdictionMismatchRationale,Too Long,High,32 words,The country of Registration/Formation selected does not match the jurisdiction where you are applying for an account to be opened. Please provide rationale justifying why an account is required in this jurisdiction:,The country of Registration/Formation selected does not match the jurisdiction where you are applying for an account to be opened. enter rationale justifying why an account is required in this jurisdiction:,,
ROW:2|KEY:Please_refer_to_wwwrbsinternationalcomtaxresidency_for_more_information_on_Foreign_Account_Tax_Compliance_Act_FATCA_or_Common_Reporting_Standard_CRS_the_options_below_and_how_to_contact_us_if_necessary_If_you_have_any_further_questions_about_your_classification_please_contact_your_tax_advisor,Please_refer_to_wwwrbsinternationalcomtaxresidency_for_more_information_on_Foreign_Account_Tax_Compliance_Act_FATCA_or_Common_Reporting_Standard_CRS_the_options_below_and_how_to_contact_us_if_necessary_If_you_have_any_further_questions_about_your_classification_please_contact_your_tax_advisor,Too Long,High,43 words,"Please refer to: www.rbsinternational.com/taxresidency for more information on Foreign Account Tax Compliance Act (FATCA) or Common Reporting Standard (CRS), the options below and how to contact us if necessary. If you have any further questions about your classification, please contact your tax advisor","Please refer to: www.rbsinternational.com/taxresidency for more information on Foreign Account Tax Compliance Act (FATCA) or Common Reporting Standard (CRS), the options below and how to contact us if necessary. If you have any further questions about your classification, please contact your tax advisor",,
ROW:2|KEY:Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Too Long,High,39 words,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,,
ROW:2|KEY:GENInvestorCountryComplex,GENInvestorCountryComplex,Too Long,High,43 words,"Please provide details of the typical investors the fund is targeted at, e.g. institutional, private client, retail etc and where the investors are likely to be based. Please also include the percentage of each type of investor, e.g. 50% institutional, 50% private client.","enter details of the typical investors the fund is targeted at, e.g. institutional, private client, retail etc and where the investors are likely to be based. Please also include the percentage of each type of investor, e.g. 50% institutional, 50% private client.",,
ROW:2|KEY:Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Too Long,High,39 words,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,,
ROW:2|KEY:GENaccnamenum,GENaccnamenum,Too Long,High,53 words,"Please provide details of associated existing relationships (where appropriate provide a signed and dated structure/organisation chart including account names and numbers, showing the fund group structure and the jurisdictions of the entities if necessary,  and the ultimate controlling party or parties). If we bank any part of the fund structure please provide details","enter details of associated existing relationships (where appropriate provide a signed and dated structure/organisation chart including account names and numbers, showing the fund group structure and the jurisdictions of the entities if necessary, and the ultimate controlling party or parties). If we bank any part of the fund structure enter details",,
ROW:2|KEY:Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Too Long,High,39 words,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,,
ROW:2|KEY:GENpepinvestpersrelationship,GENpepinvestpersrelationship,Too Long,High,43 words,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?","Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?",,
ROW:2|KEY:GENpeppositioninfluence,GENpeppositioninfluence,Too Long,High,31 words,"Are there any Politially Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?","Are there any Politially Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?",,
ROW:2|KEY:GENubohighriskcountry,GENubohighriskcountry,Too Long,High,43 words,Do any of the investors or Ultimate Beneficial Owners (UBOs) individually or as one of a number of investors or UBOs that have a direct link to high risk countries individually or together have an accumulative ownership or control of more than 50%?,Do any of the investors or Ultimate Beneficial Owners (UBOs) individually or as one of a number of investors or UBOs that have a direct link to high risk countries individually or together have an accumulative ownership or control of more than 50%?,,
ROW:2|KEY:GENUnusualCircumstances,GENUnusualCircumstances,Too Long,High,36 words,"The business relationship is conducted in unusual circumstances, such as: - Complex and unusually large transactions - Unusual patterns of transactions - Where the transactions have no apparent economic or legal purpose - OBT TO COMPLETE","The business relationship is conducted in unusual circumstances, such as: - Complex and unusually large transactions - Unusual patterns of transactions - Where the transactions have no apparent economic or legal purpose - OBT TO COMPLETE",,
ROW:2|KEY:Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Please_complete_the_following_questions_as_accurately_as_possible_and_provide_full_answers_where_possible_The_quality_of_the_information_you_provide_in_this_application_will_directly_impact_the_time_that_it_takes_for_your_account_to_be_opened,Too Long,High,39 words,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,Please complete the following questions as accurately as possible and provide full answers where possible. The quality of the information you provide in this application will directly impact the time that it takes for your account to be opened.,,
ROW:2|KEY:GENCashMngtAccPurpose,GENCashMngtAccPurpose,Too Long,High,38 words,"Please advise what the account is to be used for. For example, a combination of the following: payments of professional fees, dividend receipts/payments, rental income, expenses, trading income, purchases of wholesale goods, cash elements of an investment portfolio.","Please advise what the account is to be used for. For example, a combination of the following: payments of professional fees, dividend receipts/payments, rental income, expenses, trading income, purchases of wholesale goods, cash elements of an investment portfolio.",,
ROW:2|KEY:GENCurrentAccPurpose,GENCurrentAccPurpose,Too Long,High,38 words,"Please advise what the account is to be used for. For example, a combination of the following: payments of professional fees, dividend receipts/payments, rental income, expenses, trading income, purchases of wholesale goods, cash elements of an investment portfolio.","Please advise what the account is to be used for. For example, a combination of the following: payments of professional fees, dividend receipts/payments, rental income, expenses, trading income, purchases of wholesale goods, cash elements of an investment portfolio.",,
ROW:2|KEY:When_adding_Key_Principals_to_the_structure_please_link_all_directors_shareholders_partners_and_corporate_entities_connected_to_the_businessorganisation_which_may_include_General_Partner_Corporate_Director_Company_Secretary_Beneficial_ownersControlling_persons_etc_For_Limited_Liability_Partnerships_please_identify_all_Managing_Partners_if_corporate_entities_include_their_ownership_For_Limited_Partnerships_please_identify_all_General_Partners_if_corporate_entities_include_their_ownership_and_also_provide_details_of_the_Directors_and_Company_Secretary_of_the_General_Partners_if_a_company_or_MembersPartners_if_a_Limited_Liability_Partnership_For_trusts_please_include_all_named_parties_to_the_trust_if_corporate_entities_include_their_ownership_Please_include_all_individualslegal_entityies_that_have_a_controlling_or_material_interest_in_the_organisationbusiness_Please_ensure_that_details_are_provided_for_every_individuallegal_entity_who_directly_or_indirectly_owns_or_controls_25_or_more_of_the_businessorganisation_and_those_that_hold_a_material_interest_for_High_Risk_applications_this_would_be_10_or_more_Refer_to_glossary_contained_in_wwwrbsinternationalcomtaxresidency_for_definition_on_Controlling_person_Material_Interest_is_defined_as_those_beneficial_ownerscontrolling_persons_who_may_have_effective_control_over_the_capital_or_assets_whilst_not_holding_a_significant_percentage_ownership_In_all_instances_full_ownership_and_control_structure_needs_to_be_keyed_or_your_application_might_be_rejected_and_you_will_be_required_to_apply_again,When_adding_Key_Principals_to_the_structure_please_link_all_directors_shareholders_partners_and_corporate_entities_connected_to_the_businessorganisation_which_may_include_General_Partner_Corporate_Director_Company_Secretary_Beneficial_ownersControlling_persons_etc_For_Limited_Liability_Partnerships_please_identify_all_Managing_Partners_if_corporate_entities_include_their_ownership_For_Limited_Partnerships_please_identify_all_General_Partners_if_corporate_entities_include_their_ownership_and_also_provide_details_of_the_Directors_and_Company_Secretary_of_the_General_Partners_if_a_company_or_MembersPartners_if_a_Limited_Liability_Partnership_For_trusts_please_include_all_named_parties_to_the_trust_if_corporate_entities_include_their_ownership_Please_include_all_individualslegal_entityies_that_have_a_controlling_or_material_interest_in_the_organisationbusiness_Please_ensure_that_details_are_provided_for_every_individuallegal_entity_who_directly_or_indirectly_owns_or_controls_25_or_more_of_the_businessorganisation_and_those_that_hold_a_material_interest_for_High_Risk_applications_this_would_be_10_or_more_Refer_to_glossary_contained_in_wwwrbsinternationalcomtaxresidency_for_definition_on_Controlling_person_Material_Interest_is_defined_as_those_beneficial_ownerscontrolling_persons_who_may_have_effective_control_over_the_capital_or_assets_whilst_not_holding_a_significant_percentage_ownership_In_all_instances_full_ownership_and_control_structure_needs_to_be_keyed_or_your_application_might_be_rejected_and_you_will_be_required_to_apply_again,Too Long,High,220 words,"When adding Key Principals to the structure, please link all directors, shareholders, partners and corporate entities connected to the business/organisation which may include General Partner, Corporate Director, Company Secretary, Beneficial owners/Controlling persons* etc.

For Limited Liability Partnerships, please identify all Managing Partners (if corporate entities include their ownership).

For Limited Partnerships, please identify all General Partners (if corporate entities include their ownership), and also provide details of the Directors and Company Secretary of the General Partner/s (if a company) or Members/Partners (if a Limited Liability Partnership).

For trusts, please include all named parties to the trust (if corporate entities include their ownership).

Please include all individual(s)/legal entity(ies) that have a controlling or material interest** in the organisation/business. Please ensure that details are provided for every individual/legal entity who directly or indirectly owns or controls 25% or more of the business/organisation and those that hold a material interest. (for High Risk applications this would be 10% or more)

*Refer to glossary contained in www.rbsinternational.com/taxresidency for definition on Controlling person.

**Material Interest is defined as those beneficial owners/controlling persons who may have effective control over the capital or assets whilst not holding a significant percentage ownership.

In all instances full ownership and control structure needs to be keyed or your application might be rejected and you will be required to apply again.","When adding Key Principals to the structure, please link all directors, shareholders, partners and corporate entities connected to the business/organisation which may include General Partner, Corporate Director, Company Secretary, Beneficial owners/Controlling persons* etc. For Limited Liability Partnerships, please identify all Managing Partners (if corporate entities include their ownership). For Limited Partnerships, please identify all General Partners (if corporate entities include their ownership), and also provide details of the Directors and Company Secretary of the General Partner/s (if a company) or Members/Partners (if a Limited Liability Partnership). For trusts, please include all named parties to the trust (if corporate entities include their ownership). Please include all individual(s)/legal entity(ies) that have a controlling or material interest** in the organisation/business. Please ensure that details are provided for every individual/legal entity who directly or indirectly owns or controls 25% or more of the business/organisation and those that hold a material interest. (for High Risk applications this would be 10% or more) *Refer to glossary contained in www.rbsinternational.com/taxresidency for definition on Controlling person. **Material Interest is defined as those beneficial owners/controlling persons who may have effective control over the capital or assets whilst not holding a significant percentage ownership. In all instances full ownership and control structure needs to be keyed or your application might be rejected and you will be required to apply again.",,
ROW:2|KEY:GENRDStatement,GENRDStatement,Too Long,High,74 words,"I confirm I have considered whether there are any potential high risk characteristics or behaviours present, and factored these into the decision whether to accept or retain the relationship and whether an internal suspicion report should be submitted. I have completed the business appetite, reputational and ESE risks and tax assessment of the client. I confirm that nothing fundamental has changed since that prior review which would alter my assessment - RD TO COMPLETE","I confirm I have considered whether there are any potential high risk characteristics or behaviours present, and factored these into the decision whether to accept or retain the relationship and whether an internal suspicion report should be submitted. I have completed the business appetite, reputational and ESE risks and tax assessment of the client. I confirm that nothing fundamental has changed since that prior review which would alter my assessment - RD TO COMPLETE",,
ROW:2|KEY:SPETaxAppetite,SPETaxAppetite,Too Long,High,35 words,"Rationale as to how you have come to the decision regarding whether the structure is within tax appetite, and whether the structure requires referral to the Operational Tax team or not - RD TO COMPLETE","Rationale as to how you have come to the decision regarding whether the structure is within tax appetite, and whether the structure requires referral to the Operational Tax team or not - RD TO COMPLETE",,
ROW:2|KEY:SPERDBAConfirmation,SPERDBAConfirmation,Too Long,High,34 words,Please confirm that there have been no material changes to this application that can affect that the Business Appetite Rating and that the Business Appetite for this application is correct - RD TO COMPLETE,Please confirm that there have been no material changes to this application that can affect that the Business Appetite Rating and that the Business Appetite for this application is correct - RD TO COMPLETE,,
ROW:2|KEY:SPEOBCHECKCompanyRegistryAndCompanyDocumentsObtained,SPEOBCHECKCompanyRegistryAndCompanyDocumentsObtained,Too Long,High,55 words,"OBT- Companies Registry Search Has a search been completed? Has it confirmed that the entity has not been/ in process of being struck off, dissolved, wound up or terminated. If search not possible need to obtain a certification as per entity guidance. To include the correct Country of Incorporation, Date of Incorporation and Registration Number",OBT- Companies Registry Search Has a search been completed?,,
ROW:2|KEY:SPENASCHECKCompanyRegistryAndCompanyDocumentsObtained,SPENASCHECKCompanyRegistryAndCompanyDocumentsObtained,Too Long,High,55 words,"NAS - Companies Registry Search Has a search been completed? Has it confirmed that the entity has not been/ in process of being struck off, dissolved, wound up or terminated. If search not possible need to obtain a certification as per entity guidance.To include the correct Country of Incorporation, Date of Incorporation and Registration Number",NAS - Companies Registry Search Has a search been completed?,,
ROW:2|KEY:SPEOBCHECKScreening,SPEOBCHECKScreening,Too Long,High,31 words,"OBT - Screening checks completed and approval evidence recorded (Where required) OCC Fin Crime, OCC Sanctions Check, Sanctioned Countries list checked if Applicable. Actone and for (High risk customers only) Kritic 
","OBT - Screening checks completed and approval evidence recorded (Where required) OCC Fin Crime, OCC Sanctions Check, Sanctioned Countries list checked if Applicable. Actone and for (High risk customers only) Kritic",,
ROW:2|KEY:SPEOBCHECKExternalCert,SPEOBCHECKExternalCert,Too Long,High,81 words,"OBT - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents:
• Personally sign and date the copy document,
• Provide full name, position, firm work for, location, membership number for professional body.
• Include adequate level of information to contact if req (e.g. phone number). 

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","OBT - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents: • Personally sign and date the copy document, • Provide full name, position, firm work for, location, membership number for professional body. • Include adequate level of information to contact if req (e.g. phone number). Original signature, no copies of copies Care certification wording in Guernsey and Gibraltar. Care if certifier is in a different country to customer.",,
ROW:2|KEY:SPENASCHECKExternalCert,SPENASCHECKExternalCert,Too Long,High,81 words,"NAS - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents:
• Personally sign and date the copy document,
• Provide full name, position, firm work for, location, membership number for professional body.
• Include adequate level of information to contact if req (e.g. phone number). 

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","NAS - External Certification where applicable independent checks have been carried out and the certifier has put the following on the copy documents: • Personally sign and date the copy document, • Provide full name, position, firm work for, location, membership number for professional body. • Include adequate level of information to contact if req (e.g. phone number). Original signature, no copies of copies Care certification wording in Guernsey and Gibraltar. Care if certifier is in a different country to customer.",,
ROW:2|KEY:SPEOBCHECKInternalCert,SPEOBCHECKInternalCert,Too Long,High,56 words,"OBT - Certification requirement if  by RBSI employee:
Certifier must put the following on the copy documents:
• Personally sign and date the copy document,
• Printed their full name and job title.

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","OBT - Certification requirement if by RBSI employee: Certifier must put the following on the copy documents: • Personally sign and date the copy document, • Printed their full name and job title. Original signature, no copies of copies Care certification wording in Guernsey and Gibraltar. Care if certifier is in a different country to customer.",,
ROW:2|KEY:SPENASCHECKInternalCert,SPENASCHECKInternalCert,Too Long,High,56 words,"NAS - Certification requirement if  by RBSI employee:
Certifier must put the following on the copy documents:
• Personally sign and date the copy document,
• Printed their full name and job title.

Original signature, no copies of copies
Care certification wording in Guernsey and Gibraltar.
Care if certifier is in a different country to customer.","NAS - Certification requirement if by RBSI employee: Certifier must put the following on the copy documents: • Personally sign and date the copy document, • Printed their full name and job title. Original signature, no copies of copies Care certification wording in Guernsey and Gibraltar. Care if certifier is in a different country to customer.",,
ROW:2|KEY:SPEOBCHECKSourceFunds,SPEOBCHECKSourceFunds,Too Long,High,75 words,"OBT - Source of Funds: Sufficient details of the SOFs into the account(s). Amount of initial credit, bank name, remitter name and how these funds were generated for each source. Ensure info is plausible and that this is documented. If cash, why the Customer is depositing that amount of cash and where the cash was sourced from should be recorded. If this is not obtained cash should not be accepted and consider raising a SAR","OBT - Source of Funds: Sufficient details of the SOFs into the account(s). Amount of initial credit, bank name, remitter name and how these funds were generated for each source. Ensure info is plausible and that this is documented. If cash, why the Customer is depositing that amount of cash and where the cash was sourced from should be recorded. If this is not obtained cash should not be accepted and consider raising a SAR",,
ROW:2|KEY:SPENASCHECKSourceFunds,SPENASCHECKSourceFunds,Too Long,High,49 words,"NAS - Source of Funds: All initial deposit details, value and plausibility statement. If cash, why the Customer is depositing that amount of cash and where the cash was sourced from should be recorded. If this is not obtained cash should not be accepted and consider raising a SAR","NAS - Source of Funds: All initial deposit details, value and plausibility statement. If cash, why the Customer is depositing that amount of cash and where the cash was sourced from should be recorded. If this is not obtained cash should not be accepted and consider raising a SAR",,
ROW:2|KEY:SPEOBCHECKISVNonPersonalSignOff,SPEOBCHECKISVNonPersonalSignOff,Too Long,High,53 words,"OBT - ISV Non-Personal Sign Off - Where intermediary signatories appointed, check if base account is in operation, if so add base account number to front sheet or section 2b of the ISV signature update sheet.
CARE - where third parties signing alongside the Intermediary an ISV sheet will need to be used.","OBT - ISV Non-Personal Sign Off - Where intermediary signatories appointed, check if base account is in operation, if so add base account number to front sheet or section 2b of the ISV signature update sheet. CARE - where third parties signing alongside the Intermediary an ISV sheet will need to be used.",,
